v3_start,v3_end,offset,match_method
13683,13799,44,gaia
13800,13800,44,tyc
13801,13803,44,gaia
13804,13804,44,tyc
13805,13937,44,gaia
13938,13938,44,tyc
13939,13960,44,gaia
13961,13961,44,tyc
13962,13973,44,gaia
13974,13974,44,tyc
13975,13983,44,gaia
13984,13984,44,tyc
13985,14009,44,gaia
14010,14010,44,tyc
14011,14013,44,gaia
14014,14014,44,tyc
14015,14122,44,gaia
14123,14123,44,tyc
14124,14170,44,gaia
14171,14171,44,tyc
14172,14277,44,gaia
14278,14334,45,gaia
14335,14502,46,gaia
14503,14629,47,gaia
14630,14630,47,tyc
14631,14844,47,gaia
14845,14845,47,tyc
14846,15114,47,gaia
15115,15123,48,gaia
15124,15172,49,gaia
15173,15173,49,tyc
15174,15178,49,gaia
15179,15179,49,tyc
15180,15218,49,gaia
15219,15219,49,tyc
15220,15433,49,gaia
15434,15436,50,gaia
15437,15437,50,tyc
15438,15524,50,gaia
15525,15527,51,gaia
15528,15528,51,tyc
15529,15634,51,gaia
15635,15650,52,gaia
15651,15651,52,tyc
15652,15718,52,gaia
15719,15719,52,tyc
15720,15753,52,gaia
15754,15754,52,tyc
15755,15875,52,gaia
15876,15876,52,tyc
15877,15883,52,gaia
15884,15969,53,gaia
15970,15998,54,gaia
15999,15999,54,tyc
16000,16211,54,gaia
16212,16212,54,tyc
16213,16225,54,gaia
16226,16226,54,tyc
16227,16236,54,gaia
16237,16237,54,tyc
16238,16265,54,gaia
16266,16266,54,tyc
16267,16277,54,gaia
16278,16278,54,tyc
16279,16283,54,gaia
16284,16284,54,tyc
16285,16294,54,gaia
16295,16295,54,tyc
16296,16332,54,gaia
16333,16333,54,tyc
16334,16420,54,gaia
16421,16421,54,tyc
16422,16439,54,gaia
16440,16440,54,tyc
16441,16445,54,gaia
16446,16446,54,tyc
16447,16532,54,gaia
16533,16533,54,tyc
16534,16549,54,gaia
16550,16550,54,tyc
16551,16629,54,gaia
16630,16630,54,tyc
16631,16695,54,gaia
16696,16696,54,tyc
16697,16702,54,gaia
16703,16703,54,tyc
16704,16819,54,gaia
16820,16820,54,tyc
16821,16850,54,gaia
16851,16851,54,tyc
16852,16857,54,gaia
16858,16858,54,tyc
